                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7188,                 4.5421,                 1.6619,                0.72436,                0.39683,                0.50655,                0.28987,                 1.5901,                 3.0718,                 1.6418,                 0.0883,                 0.0013,                 0.0013
                      1,                 1.4904,                 1.7536,                 1.4143,                0.82887,                0.74603,                 0.8185,                0.44265,                 1.4954,                 1.1997,                 1.5321,               0.075593,              0.0025931,              0.0025931
                      2,                 1.4488,                 1.2215,                 1.3958,                0.77514,                0.77778,                0.79125,                0.45147,                 1.4826,                 1.0689,                  1.424,               0.062775,              0.0037753,              0.0037753
                      3,                 1.3855,                  1.094,                 1.3614,                0.85816,                0.67234,                0.80024,                0.45633,                 1.4651,                 1.2629,                 1.3916,               0.049847,              0.0048466,              0.0048466
                      4,                 1.3628,                 1.0538,                 1.2638,                0.78144,                0.68106,                0.76088,                0.41822,                 1.5198,                 1.2589,                 1.3958,               0.036807,               0.005807,               0.005807
                      5,                 1.3549,                 1.0814,                  1.253,                0.72514,                0.73016,                0.77748,                 0.4333,                 1.5685,                 1.1363,                 1.4909,               0.023657,              0.0066566,              0.0066566
                      6,                 1.3495,                 1.0658,                 1.3002,                 0.8756,                 0.7619,                0.85034,                0.41118,                 1.6755,                 1.0137,                 1.5041,               0.010395,              0.0073953,              0.0073953
                      7,                 1.3659,                 1.0342,                 1.2579,                0.83061,                0.80952,                0.86129,                0.43775,                 1.5713,                  1.031,                 1.4487,               0.007228,               0.007228,               0.007228
                      8,                  1.287,                0.94771,                   1.21,                0.91476,                0.68139,                0.79012,                0.38939,                 1.6583,                 1.1582,                 1.5484,               0.007228,               0.007228,               0.007228
                      9,                 1.3156,                 1.0483,                  1.257,                 0.6489,                0.57143,                0.65548,                0.32885,                 1.7035,                 1.4381,                  1.544,               0.006832,               0.006832,               0.006832
                     10,                 1.3562,                0.97757,                 1.2483,                0.85274,                0.79365,                0.84811,                0.40666,                 1.6738,                0.99491,                 1.5295,               0.006436,               0.006436,               0.006436
                     11,                  1.319,                0.86532,                 1.2156,                0.78045,                0.73359,                 0.8036,                0.38461,                  1.663,                 1.2382,                 1.5136,                0.00604,                0.00604,                0.00604
                     12,                 1.2747,                0.78799,                 1.2584,                  0.881,                0.74603,                0.83843,                0.42525,                  1.598,                0.98438,                 1.4914,               0.005644,               0.005644,               0.005644
                     13,                 1.2575,                0.75255,                  1.193,                0.82659,                0.74603,                0.77705,                0.41622,                 1.6167,                 1.1203,                 1.5277,               0.005248,               0.005248,               0.005248
                     14,                 1.2129,                 0.7465,                 1.2032,                0.79144,                0.71429,                0.78708,                0.44669,                 1.5156,                 1.1208,                 1.5109,               0.004852,               0.004852,               0.004852
                     15,                 1.2729,                0.75092,                 1.3481,                0.79205,                 0.8254,                0.79555,                0.45478,                 1.5146,                0.87177,                 1.4518,               0.004456,               0.004456,               0.004456
                     16,                 1.2435,                0.69995,                  1.265,                0.86279,                0.79856,                0.78512,                0.41195,                 1.6222,                0.95475,                 1.5377,                0.00406,                0.00406,                0.00406
                     17,                 1.2087,                0.66874,                 1.2519,                 0.8151,                0.84127,                0.78577,                0.41146,                 1.6126,                0.96769,                 1.5215,               0.003664,               0.003664,               0.003664
                     18,                 1.1825,                0.66845,                 1.2355,                0.82317,                0.80952,                0.83774,                0.43617,                 1.6591,                0.90481,                 1.5157,               0.003268,               0.003268,               0.003268
                     19,                 1.1678,                0.64192,                 1.1937,                0.90311,                0.84127,                0.89109,                0.48667,                 1.6356,                0.81586,                 1.4785,               0.002872,               0.002872,               0.002872
                     20,                 1.1784,                0.66073,                 1.2204,                0.91264,                0.85714,                0.88954,                 0.4699,                  1.623,                 0.8395,                 1.4901,               0.002476,               0.002476,               0.002476
                     21,                 1.2258,                0.68922,                 1.3247,                0.86554,                0.81747,                0.84444,                0.47079,                 1.6148,                0.80536,                 1.5016,                0.00208,                0.00208,                0.00208
                     22,                 1.1226,                0.58867,                 1.1811,                0.88921,                0.80952,                0.83516,                0.45227,                  1.624,                0.84667,                 1.5082,               0.001684,               0.001684,               0.001684
                     23,                 1.0851,                0.56533,                 1.1618,                0.90519,                0.80952,                0.86623,                0.46235,                 1.6118,                0.79576,                 1.4764,               0.001288,               0.001288,               0.001288
                     24,                 1.0401,                0.57283,                 1.1217,                0.92489,                 0.8254,                 0.8748,                0.48653,                 1.5983,                0.78221,                 1.4664,               0.000892,               0.000892,               0.000892
