                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4315,                 2.3256,                 1.3551,                 0.8186,                0.77778,                0.80614,                 0.4085,                 1.6304,                 1.0867,                 1.4567,                0.07075,                0.00325,                0.00325
                      1,                 1.2013,                0.97344,                 1.1978,                0.89227,                 0.6574,                0.80544,                 0.4067,                 1.5221,                 1.1894,                 1.3667,               0.040728,              0.0065616,              0.0065616
                      2,                 1.2086,                 1.0532,                 1.1775,                0.51328,                0.63492,                0.57688,                 0.2419,                 1.9166,                 1.5575,                 1.7193,               0.010685,              0.0098512,              0.0098512
                      3,                 1.2787,                 1.0224,                 1.2205,                0.79947,                0.71429,                0.77214,                0.34195,                 1.7709,                 1.2801,                 1.5585,               0.009901,               0.009901,               0.009901
                      4,                 1.2379,                 1.0098,                 1.1903,                 0.7949,                0.68254,                0.75171,                0.37707,                 1.6204,                 1.6362,                 1.5353,               0.009901,               0.009901,               0.009901
                      5,                 1.2233,                0.96237,                 1.1757,                 0.7705,                0.69841,                0.70999,                0.34564,                   1.84,                 1.5301,                  1.642,               0.009868,               0.009868,               0.009868
                      6,                 1.2277,                0.86446,                 1.2106,                0.77572,                0.71429,                0.73667,                0.38131,                 1.6306,                 1.2871,                 1.5215,               0.009835,               0.009835,               0.009835
                      7,                 1.2518,                 0.8952,                 1.2146,                0.67999,                0.68254,                0.70414,                0.28123,                 1.9365,                 1.4604,                 1.7949,               0.009802,               0.009802,               0.009802
                      8,                 1.2471,                0.84969,                 1.1981,                0.78313,                0.69841,                0.76646,                0.35235,                 1.8393,                 1.0833,                 1.7251,               0.009769,               0.009769,               0.009769
                      9,                 1.1754,                0.82348,                 1.1623,                0.80224,                0.74603,                0.79485,                0.37737,                 1.7715,                 1.2505,                 1.6033,               0.009736,               0.009736,               0.009736
                     10,                 1.1555,                0.81124,                 1.1497,                0.68911,                0.69841,                0.71535,                0.32831,                 1.7625,                 1.2443,                 1.6122,               0.009703,               0.009703,               0.009703
                     11,                 1.1949,                0.82608,                  1.155,                0.84449,                0.79365,                 0.8388,                0.41404,                 1.6613,                 1.0942,                 1.5263,                0.00967,                0.00967,                0.00967
                     12,                 1.1412,                0.78958,                 1.1386,                0.79144,                0.68254,                0.73656,                0.33134,                    1.8,                 1.6134,                 1.6645,               0.009637,               0.009637,               0.009637
                     13,                 1.1295,                0.75803,                 1.1344,                 0.7668,                0.77778,                0.79275,                0.34102,                 1.7578,                  1.108,                 1.5812,               0.009604,               0.009604,               0.009604
                     14,                 1.1178,                0.72884,                 1.1262,                0.82133,                0.77778,                0.82869,                0.40052,                 1.6983,                 1.0477,                 1.5648,               0.009571,               0.009571,               0.009571
                     15,                 1.1083,                0.72286,                  1.152,                 0.8083,                0.66933,                0.73121,                 0.4009,                 1.7493,                0.97141,                 1.6752,               0.009538,               0.009538,               0.009538
                     16,                 1.0616,                0.70662,                 1.1192,                0.75884,                0.74603,                0.77942,                0.39645,                 1.8239,                0.99582,                 1.7325,               0.009505,               0.009505,               0.009505
                     17,                 1.0688,                0.69001,                  1.107,                 0.7734,                0.81266,                0.82051,                0.41315,                 1.7216,                 1.0167,                 1.5493,               0.009472,               0.009472,               0.009472
                     18,                 1.0242,                0.66168,                  1.098,                0.81256,                0.69841,                0.76748,                0.42304,                 1.6001,                 1.0331,                 1.5629,               0.009439,               0.009439,               0.009439
                     19,                 1.0447,                0.67141,                 1.0921,                0.84732,                0.71429,                0.76039,                0.35551,                 1.7885,                 1.0455,                 1.7146,               0.009406,               0.009406,               0.009406
                     20,                0.98866,                0.67486,                 1.0879,                0.76341,                0.74603,                0.75905,                0.37094,                 1.7946,                 1.0761,                 1.8019,               0.009373,               0.009373,               0.009373
                     21,                 1.0395,                 0.7025,                 1.1021,                0.72799,                0.74603,                0.76549,                0.39029,                 1.7179,                 1.0459,                 1.7451,                0.00934,                0.00934,                0.00934
                     22,                0.98756,                 0.6472,                 1.0638,                0.80146,                0.77778,                0.77848,                0.45655,                 1.6708,                0.98421,                  1.594,               0.009307,               0.009307,               0.009307
                     23,                0.94441,                0.63987,                 1.0574,                0.81878,                 0.7619,                0.79961,                0.41911,                 1.6203,                0.91897,                 1.5572,               0.009274,               0.009274,               0.009274
                     24,                0.94214,                0.60473,                 1.0368,                0.70016,                 0.8254,                0.80679,                0.40985,                 1.7273,                 1.0903,                 1.5911,               0.009241,               0.009241,               0.009241
                     25,                 0.9624,                0.63009,                 1.0452,                0.81799,                0.69841,                0.80477,                 0.3857,                  1.732,                 1.0555,                 1.6175,               0.009208,               0.009208,               0.009208
                     26,                0.91835,                0.59201,                 1.0523,                0.77497,                0.82002,                0.81544,                0.38652,                 1.8385,                0.91284,                 1.7204,               0.009175,               0.009175,               0.009175
                     27,                0.94329,                0.59719,                 1.0471,                0.75307,                0.74603,                0.77434,                0.40033,                 1.7382,                0.92278,                 1.6163,               0.009142,               0.009142,               0.009142
